Ingredient,Frequency,Percentage
"ocean white fish meal",1,0.06%
"chicken 49%",1,0.06%
"turkey 3%",1,0.06%
"salmon liver gravy",1,0.06%
"beta-carotene",1,0.06%
"probiotics",1,0.06%
"microhealth™",1,0.06%
"biohealth™ and lactohealth™.",1,0.06%
"l-carnitine 300mg/kg",1,0.06%
"yucca 250mg/kg.",1,0.06%
"vitamins &amp; chelated minerals",1,0.06%
"chicken meat meal 32.5%",1,0.06%
"mos
2500mg/kg",1,0.06%
"fos
1000mg/kg",1,0.06%
"glucosamine
250mg/kg",1,0.06%
"seaweed
150mg/kg",1,0.06%
"corn starch",1,0.06%
"rapeseed meal",1,0.06%
"meat and animal derivatives 35%",1,0.06%
"superfoods.",1,0.06%
"15% raw dried carrot",1,0.06%
"14% raw apple",1,0.06%
"lamb meal 23%",1,0.06%
"chicken meal 9%",1,0.06%
"dried chicken & turkey 28%",1,0.06%
"carrot.",1,0.06%
"meat and animal derivatives 50%",1,0.06%
"rice 25%",1,0.06%
"lamb meal 17.5%",1,0.06%
"freshly prepared tripe",1,0.06%
"24.1% meat and fish stock",1,0.06%
"10% reindeer",1,0.06%
"10% salmon",1,0.06%
"0.1% powdered egg shell",1,0.06%
"0.1% brewer's yeast",1,0.06%
"0.1% inulin from chicory.",1,0.06%
"44% fish",1,0.06%
"36% potato",1,0.06%
"itch-eeze.",1,0.06%
"freshly prepared chicken 70%",1,0.06%
"meat and animal derivatives 46%",1,0.06%
"fresh insect",1,0.06%
"kelp powder",1,0.06%
"meat and animal derivatives 38%",1,0.06%
"beef stock",1,0.06%
"seed mix",1,0.06%
"soya bean meal",1,0.06%
"oatfeed.",1,0.06%
"28% fish",1,0.06%
"25% turkey meat with bone",1,0.06%
"15% turkey heart",1,0.06%
"15% beef heart",1,0.06%
"5% beef lung",1,0.06%
"2% beef spleen",1,0.06%
"29.5% meat stock",1,0.06%
"25% lamb",1,0.06%
"0.2 % wild herbs",1,0.06%
"0.1% linseed oil",1,0.06%
"0.1% green-lipped mussel extract.",1,0.06%
"33% rabbit",1,0.06%
"33% game",1,0.06%
"3% apples",1,0.06%
"plant based chunks",1,0.06%
"soya protein",1,0.06%
"51% free range chicken",1,0.06%
"cleavers.",1,0.06%
"wholegrain cereals 45%",1,0.06%
"slippery elm powder",1,0.06%
"powdered alfalfa",1,0.06%
"ground ginger",1,0.06%
"stabilised flax seed",1,0.06%
"natural antioxidant",1,0.06%
"stabilised vitamin c",1,0.06%
"buffalo & lamb min 53%",1,0.06%
"dried salmon protein",1,0.06%
"dried new zealand green-lipped mussel meat protein.",1,0.06%
"brown rice 17%",1,0.06%
"lamb meal 16%",1,0.06%
"dried ground fish 49%",1,0.06%
"sweet potato 32.5%",1,0.06%
"green lipped mussel 0.05%",1,0.06%
"turmeric mix",1,0.06%
"dried vegetables, dried fruit, seaweed, prebiotic, yucca, fennel, nettle, rapeseed oil.",1,0.06%
"chicken skin",1,0.06%
"chives",1,0.06%
"rosehip powder",1,0.06%
"65% free range turkey with bone",1,0.06%
"1% verm-x",1,0.06%
"free range deboned turkey 51%",1,0.06%
"deboned white fish 25%",1,0.06%
"meat and animal derivatives 54%",1,0.06%
"british & irish farmed chicken 50%",1,0.06%
"dehydrated organic corn",1,0.06%
"defatted organic chicken",1,0.06%
"organic algae 5%",1,0.06%
"66% beef",1,0.06%
"33% lamb",1,0.06%
"28.4% meat stock",1,0.06%
"4% potatoes",1,0.06%
"white fish 37%",1,0.06%
"whole barley 17%",1,0.06%
"whole oats 17%",1,0.06%
"whole millet 12%",1,0.06%
"whole brown rice 12%",1,0.06%
"minerals. alfalfa",1,0.06%
"spirulina spinach.",1,0.06%
"wheatbran",1,0.06%
"14% raw dried carrot",1,0.06%
"13% raw apple",1,0.06%
"2% eggs",1,0.06%
"20.4% fresh pork",1,0.06%
"20.4% fresh chicken",1,0.06%
"3.2% pumpkin",1,0.06%
"3.2% banana",1,0.06%
"2.65% pineapple",1,0.06%
"fructo oligosaccharides.",1,0.06%
"coloured with iron oxide.",1,0.06%
"ground oats",1,0.06%
"meat and meat by-products 51%",1,0.06%
"60% beef tripe",1,0.06%
"30% organic chicken meat with bone",1,0.06%
"british lamb",1,0.06%
"rapeseed glycerine",1,0.06%
"chicory root 1%",1,0.06%
"fibre",1,0.06%
"apple.",1,0.06%
"lamb 80%",1,0.06%
"mint 4%",1,0.06%
"organic chicken with bone",1,0.06%
"organic chicken heart and liver",1,0.06%
"shiitake mushrooms",1,0.06%
"additives.",1,0.06%
"66% turkey",1,0.06%
"29% turkey broth",1,0.06%
"4% kale",1,0.06%
"chicken 90%",1,0.06%
"linseed field bean hulls",1,0.06%
"herbal blend 0.25%.",1,0.06%
"whey protein",1,0.06%
"65% lamb",1,0.06%
"0.2% safflower oil.",1,0.06%
"65% game",1,0.06%
"30% meat stock",1,0.06%
"4% pasta",1,0.06%
"broth 28.7%",1,0.06%
"pumpkin 3%",1,0.06%
"olive oil 0.1%",1,0.06%
"green lipped mussel 0.1%",1,0.06%
"goldenrod herb powder 0.1%.",1,0.06%
"beef 27%",1,0.06%
"beef lung 27%",1,0.06%
"beef cartilage 26%",1,0.06%
"salmon 10%",1,0.06%
"green tripe 5%",1,0.06%
"sessional vegetables 1%.",1,0.06%
"fresh turkey 40%",1,0.06%
"fresh duck 20%",1,0.06%
"organic potatoes",1,0.06%
"meat and animal derivatives 42%",1,0.06%
"pea protein concentrate 16%",1,0.06%
"lentils 11%",1,0.06%
"corn protein meal 7.5%",1,0.06%
"vegetable oils",1,0.06%
"brewers yeast 5.5%",1,0.06%
"hemp protein 4%",1,0.06%
"potato protein 3%",1,0.06%
"moringa oleifera 2%",1,0.06%
"red fruit extract",1,0.06%
"probiotics pro intestinal microbiota.",1,0.06%
"17% turkey sweet potato",1,0.06%
"fresh duck 85%",1,0.06%
"fresh carrots 3%",1,0.06%
"fresh courgette 3%",1,0.06%
"fresh green beans 2%",1,0.06%
"fresh pear 2%",1,0.06%
"yoghurt 1%",1,0.06%
"bamboo fibre 1%",1,0.06%
"chicory inulin 1%",1,0.06%
"yeast products 1%",1,0.06%
"dehydrated fruit blend 0.025%.",1,0.06%
"chicken 80%",1,0.06%
"salmon 1%",1,0.06%
"blackberry 1%.",1,0.06%
"pheasant meal",1,0.06%
"duck deboned",1,0.06%
"duck 65%",1,0.06%
"collagen hydrolysate",1,0.06%
"rapeseed oil 0.75%",1,0.06%
"chicory 0.056%",1,0.06%
"plant and citrus extracts 0.014%.",1,0.06%
"poultry meat meal 10.0%",1,0.06%
"extract of yucca schidigera 25mg/kg.",1,0.06%
"mannaanoligosaccharides",1,0.06%
"60% duck and herring",1,0.06%
"dried sweet potato 20.5%",1,0.06%
"tapioca 2.5%",1,0.06%
"brewers yeast extract",1,0.06%
"green lipped mussel 0.1%.",1,0.06%
"british chicken and bone",1,0.06%
"vitamin c.",1,0.06%
"yucca extract.
minimum levels: turkey",1,0.06%
"trace elements and beta-carotene. with a natural antioxidant.",1,0.06%
"chicken 32.5%",1,0.06%
"lamb 32.5%",1,0.06%
"chicken gravy minerals",1,0.06%
"prebiotic mannan oligosacharide",1,0.06%
"high quality chicken 18%",1,0.06%
"65% fish",1,0.06%
"46% duck",1,0.06%
"51% lamb",1,0.06%
"15% turkey hearts",1,0.06%
"3% oats",1,0.06%
"0.5% grape seed oil.",1,0.06%
"chicken 28%",1,0.06%
"carrot 9%",1,0.06%
"beef with bone 40%",1,0.06%
"turkey with bone 30%",1,0.06%
"beef green tripe 10%",1,0.06%
"beef offal 5%",1,0.06%
"butternut squash 4%",1,0.06%
"kelp 0.3%",1,0.06%
"wheatgrass powder 0.05%.",1,0.06%
"70% freshly prepared chicken",1,0.06%
"20% vegetables",1,0.06%
"whole peeled shrimp",1,0.06%
"salmon fillet",1,0.06%
"diced pumpkin",1,0.06%
"yoghurt",1,0.06%
"cubed courgette",1,0.06%
"shredded savoy cabbage",1,0.06%
"algae.",1,0.06%
"natural prebiotic.",1,0.06%
"26% turkey",1,0.06%
"26% duck",1,0.06%
"fish 13%",1,0.06%
"turkey 45.5%",1,0.06%
"yucca powder 0.01%.",1,0.06%
"meat and animal derivatives 25%",1,0.06%
"whole british free range chicken 86%",1,0.06%
"seaweed 0.15%.",1,0.06%
"dried lamb meat",1,0.06%
"80% duck",1,0.06%
"tapioca 3%",1,0.06%
"chickpeas 2%",1,0.06%
"lucerne 2%",1,0.06%
"joint support.",1,0.06%
"salmon &amp; trout 50%",1,0.06%
"dehydrated duck meat",1,0.06%
"mono- dicalcium phosphate",1,0.06%
"glucosamine hydrochloride. total meat content 26%.",1,0.06%
"peas 11%",1,0.06%
"potato 11%",1,0.06%
"fruits botanicals & herbs.",1,0.06%
"molluscs & crustaceans.",1,0.06%
"organic potato",1,0.06%
"meat meal 30%",1,0.06%
"whole sardines",1,0.06%
"bilberry powder.",1,0.06%
"extract of yucca shidigera",1,0.06%
"fresh wild boar",1,0.06%
"kidneys",1,0.06%
"rind",1,0.06%
"lean meat",1,0.06%
"30% wild venison",1,0.06%
"25% turkey",1,0.06%
"5% wild venison liver",1,0.06%
"5% wild venison kidney",1,0.06%
"5% wild venison heart",1,0.06%
"cooked white potato",1,0.06%
"cooked sweet potato",1,0.06%
"organic cod liver oil",1,0.06%
"organic sea kelp",1,0.06%
"organic turmeric.",1,0.06%
"beef and beef broth 26%",1,0.06%
"liver 8.5%",1,0.06%
"52% turkey",1,0.06%
"41% chicken",1,0.06%
"freshly prepared kangaroo 70%",1,0.06%
"valerian",1,0.06%
"watercress",1,0.06%
"joint support [glucosamine",1,0.06%
"chondroitin sulphate].",1,0.06%
"turkey 38%",1,0.06%
"un-molassed beet pulp",1,0.06%
"yucca shidigera.",1,0.06%
"brown rice 28.5%",1,0.06%
"mannanoligosaccharides 425mg",1,0.06%
"fructooligosaccharides 425mg",1,0.06%
"beta glucans 100mg",1,0.06%
"nucleotides 100mg.",1,0.06%
"lamb 38%",1,0.06%
"fresh chicken 38%",1,0.06%
"chicken liver 8%",1,0.06%
"freshly prepared deboned free-run chicken",1,0.06%
"organic apple",1,0.06%
"chicken with bone 75%",1,0.06%
"beef tripe 5%",1,0.06%
"beef 5%",1,0.06%
"beef liver 3%",1,0.06%
"beef kidney 2%",1,0.06%
"ground black pepper.",1,0.06%
"fish 71%",1,0.06%
"pork protein isolate",1,0.06%
"trace elements.",1,0.06%
"28.2% chicken stock",1,0.06%
"2% red currants",1,0.06%
"1% celery",1,0.06%
"1% chicory",1,0.06%
"0.1 % coconut flakes",1,0.06%
"0.1% calcified seaweed.",1,0.06%
"dried turkey 28%",1,0.06%
"turkey fat 6%",1,0.06%
"30% veal hearts",1,0.06%
"lamb 28%",1,0.06%
"beef 70%",1,0.06%
"dicalcium phosphate 1%.",1,0.06%
"22% poultry protein",1,0.06%
"dehydrated chicken 29%",1,0.06%
"dehydrated herring 14%",1,0.06%
"dehydrated salmon 11%",1,0.06%
"freshly prepared chicken 11%",1,0.06%
"dehydrated turkey 10%",1,0.06%
"freshly prepared salmon 7%",1,0.06%
"freshly prepared chicken liver 3%",1,0.06%
"tapioca 2%",1,0.06%
"freshly prepared free range egg 1%",1,0.06%
"chick pea flour",1,0.06%
"pre biotic fos 0.1%",1,0.06%
"dried organic spinach",1,0.06%
"dried organic pumpkin",1,0.06%
"dried organic carrot",1,0.06%
"dried dandelion herb",1,0.06%
"dried burdock root",1,0.06%
"duck broth",1,0.06%
"natural flavor",1,0.06%
"roasted duck",1,0.06%
"roasted quail",1,0.06%
"guar gum",1,0.06%
"sodium tripolyphosphate",1,0.06%
"iron proteinate",1,0.06%
"zinc proteinate.",1,0.06%
"msc certified tuna",1,0.06%
"glucosamine hcl 400 mg/kg",1,0.06%
"yucca extract 250 mg/kg.",1,0.06%
"50% fresh pork",1,0.06%
"40% fresh pork",1,0.06%
"30% fresh salmon",1,0.06%
"milled beet",1,0.06%
"3% pumpkin",1,0.06%
"echinacea extract 0.5%",1,0.06%
"meat and animal derivatives 4%",1,0.06%
"carrots 6.5%",1,0.06%
"quinoa 3%",1,0.06%
"broccoli 1.3%",1,0.06%
"sage 0.8% chia seeds 0.6%",1,0.06%
"hemp seeds 0.3%",1,0.06%
"basil.",1,0.06%
"docosahexaenoic acid.",1,0.06%
"42% insect protein",1,0.06%
"north sea fish 9%",1,0.06%
"eggs 9%",1,0.06%
"1% nettle",1,0.06%
"1% vitamins and minerals.",1,0.06%
"55% duck",1,0.06%
"16.5% carrots",1,0.06%
"16.5% potato",1,0.06%
"5% pumpkin",1,0.06%
"2% cowberries",1,0.06%
"2% linseed oil",1,0.06%
"1.9% seaweed meal",1,0.06%
"1% rosemary",1,0.06%
"0.1% andean salt",1,0.06%
"0.1% minerals.",1,0.06%
"fructo-oligo-saccharides.",1,0.06%
"cornflour",1,0.06%
"soy protein isolate",1,0.06%
"animal protein",1,0.06%
"beef tripe, beef with bone, beef kidney, green vegetables, carrots, butternut squash, blueberries, salmon oil, chicory root, kelp.",1,0.06%
"omega oil supplement",1,0.06%
"yucca extract.  minimum levels: turkey",1,0.06%
"glucosamine 0.005%",1,0.06%
"chondroitin sulphate 0.0025%",1,0.06%
"4% blueberries",1,0.06%
"dried field beans",1,0.06%
"glucosamine 890mg/kg",1,0.06%
"methylsulfonylmethane 890mg/kg",1,0.06%
"chondroitin sulphate 625mg/kg",1,0.06%
"dried chicory root extract 0.048%",1,0.06%
"dried aniseed",1,0.06%
"dried fenugreek",1,0.06%
"dried mixed herbs.",1,0.06%
"meat and animal derivatives 43%",1,0.06%
"fructo oligo accharides",1,0.06%
"salt water fish",1,0.06%
"fruits of the forest mixed berries, blackcurrants)",1,0.06%
"meat meals",1,0.06%
"chamomile.",1,0.06%
"chicken meat meal 44%",1,0.06%
"potato 12%",1,0.06%
"vitamins & minerals supplement",1,0.06%
"88% duck",1,0.06%
"cod liver oil 0.5%",1,0.06%
"wheat germ oil 0.5%.",1,0.06%
"30% meat meal & gravy",1,0.06%
"3% chicken fat",1,0.06%
"botanical herbs",1,0.06%
"nz green lipped mussel extract",1,0.06%
"swede lentils",1,0.06%
"thickener",1,0.06%
"soybean mill",1,0.06%
"coloured with ferrous oxide.",1,0.06%
"poultry 8.2%",1,0.06%
"organic and free range british chicken meat with bone 65%",1,0.06%
"chondroitin 0.1%).",1,0.06%
"rapeseed oil carrot",1,0.06%
"fresh trout",1,0.06%
"dehydrated fish",1,0.06%
"dehydrated spinach",1,0.06%
"dehydrated green beans",1,0.06%
"devils claw",1,0.06%
"18.5% rice",1,0.06%
"10% oats",1,0.06%
"0.3% dried carrot",1,0.06%
"0.2% chicory extract",1,0.06%
"0.015% yucca",1,0.06%
"dried salt water fish",1,0.06%
"fruits of the forest mixed berries 0.3%",1,0.06%
"meat and animal derivatives 48%",1,0.06%
"methylsulphonyl methane",1,0.06%
"probiotics.",1,0.06%
"1% whole linseed",1,0.06%
"01% chicory",1,0.06%
"0.02% extract of yucca schidigera",1,0.06%
"0.02% glucosamine",1,0.06%
"0.015% chondroitin",1,0.06%
"plant and citrus extracts.",1,0.06%
"milk and milk derivatives",1,0.06%
"beef heart 35%",1,0.06%
"chicken with bone 30%",1,0.06%
"beef fat 5%",1,0.06%
"new zealand green-lipped mussel extract",1,0.06%
"fresh duck 10%",1,0.06%
"pumpkin 0.5%",1,0.06%
"plantain 0.5%",1,0.06%
"mango 0.5%",1,0.06%
"carrots 0.25%",1,0.06%
"cowberries 0.25%",1,0.06%
"vegetables 14%",1,0.06%
"dehydrated beef and pork protein",1,0.06%
"chicken 63.92%",1,0.06%
"broccoli 5.44%",1,0.06%
"carrot 0.68%",1,0.06%
"sweet potato 0.68%",1,0.06%
"peas 0.68%",1,0.06%
"seaweed 0.12%",1,0.06%
"sunflower oil 0.04%",1,0.06%
"turkey 70%",1,0.06%
"wild-caught salmon trout",1,0.06%
"zucchini",1,0.06%
"dried mixed herbs 0.5%",1,0.06%
"joint care 0.8%",1,0.06%
"vegetarian protein hydroxylate",1,0.06%
"lamb meat",1,0.06%
"fresh chicken muscle meat",1,0.06%
"sweet lupine",1,0.06%
"apricot",1,0.06%
"fresh chicken liver",1,0.06%
"parsley root",1,0.06%
"rapeseed flour",1,0.06%
"aronia",1,0.06%
"carrot flake",1,0.06%
"yucca joint care pack",1,0.06%
"microhealth",1,0.06%
"biohealth and lactohealth.",1,0.06%
"40% lamb tripe",1,0.06%
"20% lamb lung",1,0.06%
"15% lamb ribs",1,0.06%
"5% lamb liver",1,0.06%
"5% lamb kidney",1,0.06%
"4.8% lamb heart",1,0.06%
"4% broccoli",1,0.06%
"2% kale",1,0.06%
"dried whole salmon",1,0.06%
"dried whole ocean fish",1,0.06%
"fresh whole salmon",1,0.06%
"fresh whole ocean fish",1,0.06%
"dried whole farm eggs",1,0.06%
"norwegian salmon oil",1,0.06%
"brown rice 24%",1,0.06%
"white rice 24%",1,0.06%
"fresh lamb and venison",1,0.06%
"liver stock",1,0.06%
"dehydrated animal protein",1,0.06%
"salmon 36.5%",1,0.06%
"1% chicken fat",1,0.06%
"salmon 29%",1,0.06%
"dried potato 23%",1,0.06%
"whole sorghum 17%",1,0.06%
"whole barley 7.5%",1,0.06%
"olive extract",1,0.06%
"seeds. highly digestible ingredients: chicken",1,0.06%
"rice starch",1,0.06%
"carob bean meal",1,0.06%
"salt.",1,0.06%
"broth 26%",1,0.06%
"salmon 15%",1,0.06%
"blueberries 0.5%",1,0.06%
"goji berries 0.5%",1,0.06%
"peas 0.3%",1,0.06%
"sweet potato 0.2%",1,0.06%
"carrots 0.2%",1,0.06%
"mos 0.1%",1,0.06%
"fos 0.1%",1,0.06%
"salmon 45%",1,0.06%
"menhaden fish meal",1,0.06%
"dried and ground barbary duck meat 18 %",1,0.06%
"ground wholegrain rice",1,0.06%
"dried and ground deer meat 9.4 %",1,0.06%
"dried and ground white fish
6.3 %",1,0.06%
"dried rice germ",1,0.06%
"dried and ground beta vulgaris",1,0.06%
"dried and ground venison bone",1,0.06%
"seaweed blend",1,0.06%
"cold-pressed vegetable oil mixture",1,0.06%
"dried moor 2 %",1,0.06%
"forest berries 2 %",1,0.06%
"dried and ground yucca schidigera",1,0.06%
"silica 1.5 %",1,0.06%
"green-lipped mussel extract 1.5 %",1,0.06%
"chicken 57%",1,0.06%
"apples 0.5%",1,0.06%
"d-glucosamine hydrochloride 400 mg",1,0.06%
"chondroitin sulphate 300 mg",1,0.06%
"rice 16%",1,0.06%
"hydrolyzed lamb liver",1,0.06%
"rosehips dried",1,0.06%
"potato 13%",1,0.06%
"salmon oil 0.24%",1,0.06%
"wheat bran",1,0.06%
"meat stock",1,0.06%
"dried garden vegetables",1,0.06%
"cheese powder",1,0.06%
"poultry 11%",1,0.06%
"green beans 2%",1,0.06%
"dehydrated carrots 0.36%",1,0.06%
"parsley 0.25%",1,0.06%
"chicory root powder 0.08%",1,0.06%
"cranberry powder 0.01%",1,0.06%
"rosemary powder 0.01%",1,0.06%
"herb blend.",1,0.06%
"goose with bone",1,0.06%
"raspberry/ blueberry",1,0.06%
"oregano. total 90% meat ingredients.",1,0.06%
"dried ground chicken",1,0.06%
"boswellia serrata dried",1,0.06%
"green-lipped mussels extract.",1,0.06%
"dried rosemary and thyme",1,0.06%
"chicken 25%",1,0.06%
"hydrolysed turkey protein",1,0.06%
"β glucans",1,0.06%
"dried sea buckthorn inactivated bacteria and parts thereof.",1,0.06%
"soya hulls",1,0.06%
"glucosamine 400 mg/kg",1,0.06%
"yucca extract 250 mg/kg",1,0.06%
"mannan-oligosaccharides 2000 mg/kg. * may include gm material.",1,0.06%
"42% freshly prepared meat",1,0.06%
"whole peas 6.5%",1,0.06%
"mannan oligosaccharides 0.13% fructo-oligosaccharides 0.08%",1,0.06%
"freshly prepared goat",1,0.06%
"freshly prepared lamb 94%",1,0.06%
"peas 4.1%",1,0.06%
"cassia gum.",1,0.06%
"fresh goose",1,0.06%
"organic apples",1,0.06%
"milled flaxseed.",1,0.06%
"turkey 60.5%",1,0.06%
"fish 42%",1,0.06%
"beef 52.5%",1,0.06%
"29% pork",1,0.06%
"lactobacillus helveticus ha 122 inactivated.",1,0.06%
"dried and fresh turkey",1,0.06%
"fresh aberdeen angus beef",1,0.06%
"wild birds 6%",1,0.06%
"alfalfa sprouts",1,0.06%
"salts of fatty acids",1,0.06%
"dried algae 0.4%",1,0.06%
"antioxidants. preservatives.",1,0.06%
"potato protein 10%",1,0.06%
"hydrolysed salmon 2%",1,0.06%
